"Ion_Name","Ion_Mass"
"M [1+]","mw"
"M+H [1+]","mw + 1.007276"
"M+2H [2+]","mw/2 + 1.007276"
"M+3H [3+]","mw/3 + 1.007276"
"M+Na [1+]","mw + 22.989218"
"M+2Na [2+]","mw/2 + 22.989218"
"M+3Na [3+]","mw/3 + 22.989218"
"M+H+Na [2+]","mw/2 + 11.998247"
"M+H+2Na [3+]","mw/3 + 15.7661904"
"M+2H+Na [3+]","mw/3 + 8.334590"
"M+2Na-H [1+]","mw + 44.971160"
"M+NaCl [1+]","mw + 57.9586 + PROTON"
"M+K [1+]","mw + 38.963158"
"M+H+K [2+]","mw/2 + 19.985217"
"M+ACN+H [1+]","mw + 42.033823"
"M+ACN+2H [2+]","mw/2 + 21.520550"
"M+ACN+Na [1+]","mw + 64.015765"
"M+2ACN+2H [2+]","mw/2 + 42.033823"
"M+3ACN+2H [2+]","mw/2 + 62.547097"
"M+2ACN+H [1+]","mw + 83.060370"
"M+H2O+H [1+]","mw + 18.0106 + PROTON"
"M-H2O+H [1+]","mw - 18.0106 + PROTON"
"M-H4O2+H [1+]","mw - 36.0212 + PROTON"
"M-HCOOH+H [1+]","mw - 46.0054 + PROTON"
"M+HCOONa [1+]","mw + 67.9874 + PROTON"
"M-HCOONa+H [1+]","mw - 67.9874 + PROTON"
"M+HCOOK [1+]","mw + 83.9613 + PROTON"
"M-HCOOK+H [1+]","mw - 83.9613 + PROTON"
"M-CO+H [1+]","mw - 27.9950 + PROTON"
"M-CO2+H [1+]","mw - 43.9898 + PROTON"
"M-C3H4O2+H [1+]","mw - 72.0211 + PROTON"
"M+CH3OH+H [1+]","mw + 33.033489"
"M-NH3+H [1+]","mw - 17.0265 + PROTON"
"M+H+NH4 [2+]","mw/2 + 9.520550"
"M+NH4 [1+]","mw + 18.033823"
"M+IsoProp+H [1+]","mw + 61.06534"
"M+IsoProp+Na+H [1+]","mw + 84.05511"
"M+2K+H [1+]","mw + 76.919040"
"M+DMSO+H [1+]","mw + 79.02122"
"2M+H [1+]","(2*mw) + 1.007276"
"2M+NH4 [1+]","(2*mw) + 18.033823"
"2M+Na [1+]","(2*mw) + 22.989218"
"2M+3H2O+2H [2+]","(2*mw) + 28.02312"
"2M+K [1+]","(2*mw) + 38.963158"
"2M+ACN+H [1+]","(2*mw) + 42.033823"
"2M+ACN+Na [1+]","(2*mw) + 64.015765"
"M(C13)+H [1+]","mw +1.0034 + PROTON"
"M(C13)+2H [2+]","mw/2 + 0.5017 + PROTON"
"M(C13)+3H [3+]","mw/3 + 0.3344 + PROTON"
"M(S34)+H [1+]","mw + 1.9958 + PROTON"
"M(Cl37)+H [1+]","mw + 1.9972 + PROTON"
